03月13日17:18,来自大帅b的iPhone客户端,答案在这儿,#每天啥都不想干怎么办#在线求解答，关键我月底考试,['[微笑]'],7483818785,Ljyv1jI4e
03月13日17:16,来自iPhone客户端,是珊珊呀_,#每天啥都不想干怎么办#周末可以无限循环么,[],3674668941,Ljyud4HhL
03月13日17:16,来自iPhone客户端,仙人掌城堡,#天气即天意##每天啥都不想干怎么办#春天在地里、我还穿着羽绒服、心冷！一上午都在折腾卖车、然后中午一起吃饭、全程无话、没有沟通这可怎么办呢？下午我自己睡到四点被喊起来回去！这算约会？算什么？真的太难受了！心情低落！不想说话了！,[],5381598759,Ljyu4ayEb
03月13日17:15,来自OPPOReno5Pro5G,樊樊樊樊可,#诗歌##情感语录##每天啥都不想干怎么办#《野风》你怎么舍得我难过北方的春苹果白开水小调黑色的袜子上粘上白色的线在春风里摇好多个春路过好多个颜色绽放过把曾经拥有变成曾经又过了几个春来来去去反反复复没有反转的剧情没有观众买单。,[],3857879041,LjytVEBIr
03月13日17:15,来自微博视频号,微博禁毒第一人马霄,【可耻！#男子偷闯女厕从缝隙抢手机被刑拘#】近日，云南曲靖。一男子偷入某电影院女卫生间，通过卫生间挡板缝隙将一女生手机抢走。该女生连忙追出，但不见男子踪影遂报警求助。经勘察，民警确认并抓获嫌疑人杨某。目前，杨某因涉嫌抢夺罪，被依法给予刑事拘留。#男子闯女厕从门缝抢走女生手机#展开c,[],1270750184,LjytNDH0F
发表时间,信息,用户名,内容,用到表情,uid,weibo_id
03月10日14:35,,人间投影仪,那就摆烂#每天啥都不想干怎么办##成长有态度#,[],5818574750,Lj59qf0nV
03月12日17:18,来自iPhone客户端,我是凉斤斤,哈哈哈哈哈哈哈哈哈嗝…#每天啥都不想干怎么办#L我是凉斤斤的微博视频,[],6974320062,Ljp4ldWXu
03月12日15:25,来自亓昊楠Android,故宫古钟表修复师,现代钟表工艺制品，音乐转花钟。#坚持做长期正确的事##工作带来的疲倦感如何缓解##我就是玩##每天啥都不想干怎么办#2北京L故宫古钟表修复师的微博视频,[],2286387247,LjokxhGBT
03月11日15:18,来自每日一善超话,刘语丝Angela,#每天啥都不想干怎么办#不想干就不干。但有个大前提——权衡好利弊，百分百确定自己能承受最差结果。如果每天什么都不干，内心还能圆融，自洽，和谐，自在，不焦虑，不与外人比较，不否定、攻击自己，不觉得自己活得没价值，没意义……那当然可以什么都不干了。若真能做到，那恰恰说明，你的内心展开c,[],2395855922,LjeRp0cJI
03月13日16:04,来自摸鱼专用的iPhone12Pro(海蓝色),五道口校霸,#每天啥都不想干怎么办#也不是不想干吧，就是觉得我也是第一次来，凭什么啥都按照你说的剧本来做想干还是不想干主要看干啥，你找我干活，对不起我不想；你请我吃饭，半夜12点我都去；这就是人情世故，你白嫖我劳动力是事故，请我吃饭是人情热爱生活最好的样子，不是今天进行了多少无展开c,"['[doge]', '[吃瓜]']",1217028764,Ljy0W7IPR
03月11日14:06,来自猫的Android,咖啡布偶猫,#每天啥都不想干怎么办#拖延症，想的太多，干的太少，无限焦虑内耗，还有的就是要做的事情太多，需要别人配合，又没有太明确的进度规划，索性就拖着了，反正一个人干不完。还有就是身体精力跟不上，头脑飞快奔跑，但是肉体动弹一下都累，吃饭都恨不得顿顿外卖，觉得工作累，和别人说话累，拿起笔累展开c,[],1320230954,LjenQAWPc
03月10日17:38,,Tn呆小云,#每天啥都不想干怎么办#其实你并不是什么都不想干，而是有好多事情想做，却又不知道从什么地方开始，就算开始也因为在短期内看不到结果就不想开始，或是就算开始了，一时半会也做不完……于是就算是不刷短视频，不玩游戏，不刷微博……就望着漆黑的手机屏幕神游万里，也不想着手做正事，因为你有太展开c,[],6577173160,Lj6lI8t6O
03月09日10:33,来自微博weibo.com,小舒冉冉不轻易放弃,#每天啥都不想干怎么办#1，不得不说，“每天什么都不想做，只想躺着待着，刷手机”这种情况很正常——建议你可以命令自己每天必须躺着刷手机4小时，少一分钟都不行；如果你还觉得不过瘾，你可以命令自己每天刷满8小时，上午4小时，下午4小时，晚上再加班刷2小时（我不是在开玩笑），不过一旦制定了时展开c,[],6072765065,LiU8CC2wz
03月31日23:07,,小烊烊啦,根本不想学习了#每天啥都不想干怎么办#,[],7270984155,LmktIfE0F
03月30日17:00,来自新版微博weibo.com,中国银联,#每天啥都不想干怎么办#监控拆掉，正在侧躺着给手机充电盯着屏幕傻笑的扣个1~阿联猜会有_____朵银耳#银耳碎碎念#,['[doge]'],1834790094,Lm8DUbXiF
03月30日10:30,来自微博weibo.com,中国银联95516,#62闲话铺##每天啥都不想干怎么办#人生无常，大肠包小肠，不如我们躺平吧开玩笑开玩笑，大家在休息日一般会做些什么呢~,['[揣手]'],2087764093,Lm65AcHZJ
03月29日12:02,来自iPhone客户端,牙医姜原,病例54.前牙邻面龋#补牙##每天啥都不想干怎么办#侧切牙根尖有阴影2赣州,[],6241119989,LlXgOtCEq
03月29日11:45,来自微博搜索,有病早点看医生,#每天啥都不想干怎么办#这种情况我也还是比较焦虑，最近想了个法子，背书。然后发现真背不了多少。适合不想用脑，不知道做啥，又不想脑子完全废掉。,[],1463626892,LlX9LrGi7
03月27日19:03,来自iPhone客户端,王益达wdd,#校园生活##日常碎片plog##生活碎片##每天啥都不想干怎么办#校园生活2宿迁·宿迁学院,[],5312576399,LlHaq0Azi
03月26日18:33,来自Android,王叮叮和王怼怼的日常,#每天啥都不想干怎么办#不如摆烂~,[],5890508719,LlxxHcbMY
03月26日16:06,来自iPhone客户端,小燕子尘烟,被这钢筋混凝土的城市困住了……#每天啥都不想干怎么办#,[],6342538697,LlwA7c6vi
03月26日15:30,来自OPPOReno65G,乞活·,#每天啥都不想干怎么办#不想干不想干不想,[],7735508553,Llwlp02ls
03月26日12:15,来自咖啡时间超话,庄小贪,咖啡时间月薪低于三千的我，除了穷开心，还能怎么样呢？#月薪三千应该感到满足吗##手冲咖啡##每天啥都不想干怎么办#2北京,[],1492699664,Llv4xtpis
03月23日22:21,来自iPhone客户端,zozo圣地,#每天啥都不想干怎么办##live#2大连·大连海事大学,[],6601621406,Ll6KPcBof
03月23日11:11,来自吃不胖的Android,玩物x艾克斯,“在你力能所及的范围活的尽兴一点”#每天啥都不想干怎么办##年轻人为什么睡不好#2兰州,[],3135347071,Ll2n1BDS0
03月22日23:55,,小烊烊啦,月亮不睡我不睡我是秃头小宝贝#这届年轻人为什么睡不着##每天啥都不想干怎么办#,[],7270984155,LkXWmCww5
03月20日00:09,来自微博视频号,葱油饼不带葱,布加迪威龙，听说你有个110限量10台，要不要送我一辆？#拯救不开心##每天啥都不想干怎么办##你手机里最后一张照片是什么#L葱油饼不带葱的微博视频,[],1747583281,LkvKSr6tp
03月19日21:41,来自iPhone客户端,牙医姜原,病例53.窝沟龋#补牙##每天啥都不想干怎么办#2赣州,[],6241119989,LkuMGolkl
03月19日18:23,来自新版微博weibo.com,号1628637282627276,关于在#潭州教育#线上学习的感受与思考。说实话，这个课程还挺适合我这种上班族的，想什么时候学就什么时候学，一转眼居然已经坚持学习快一周了，原来下班后的时间也可以如此充实呢！#每天啥都不想干怎么办#,[],6449266194,Lktuty8n5
03月19日13:39,来自新版微博weibo.com,妧妧525,#每天啥都不想干怎么办#虽然原画学习有一定的难度，但是在#潭州教育#讲师的带领下，我有信心学好它。,[],1805450593,LkrD4xGFz
03月19日10:36,来自nova7Pro你在焦点在,一直吃到瘦,封校日常#每天啥都不想干怎么办#,[],7066398829,LkqqSyRd4
03月18日23:30,来自iPhone客户端,王益达wdd,封校日记今天的核酸，羽毛球，钢琴课#每天啥都不想干怎么办##日常碎片plog##生活碎片#2宿迁·宿迁学院,[],5312576399,Lkm4t0KBI
03月18日21:01,来自摄影超话,路深鹿,#每天啥都不想干怎么办#路过数码配件，想买一个相机读卡器我：老板，有读卡器吗？老板：我找找，嗯……还有一个，你要吗？我：要，老板多少钱？老板：80元我：？？这么贵了？刚说完～老板：15给你了我：你说多少？老板：15我：是15吗？老板：是的，扫码在桌上……,"['[允悲]', '[允悲]']",5068828421,Lkl64a1Ny
03月18日16:36,来自微博weibo.com,科龙空调,#每天啥都不想干怎么办#也许不是你的锅，是空气的错！当空气中二氧化碳浓度超标时，人体会感觉浑身乏力、精神不振，#科龙增氧新风空调KL#急速新风系统，将室内混浊空气排出，不断引进新鲜空气，保障家人呼吸健康，关窗也能享受新鲜空气！#年轻就要潮出色#,"['[费解]', '[裂开]', '[微风]', '[打call]']",1902734354,LkjmbrJ1T
03月18日14:19,来自新版微博weibo.com,任小重520,#每天啥都不想干怎么办#平时在家手机玩多了，整个人都是废材，突然一搞学习，还有点不适应呢，但是结果是好的就行。第一次下定决心学习绘画之后，真的感谢#潭州教育#给我的改变，让我从一个无所事事的人变成一个会画画而且努力上进的人！如果平时在家无聊的话也来潭州教育学习一下吧！展开c,[],5297152698,LkisFenRv
03月18日13:25,来自OPPOReno65G,连一句敷衍也不给我么,#每天啥都不想干怎么办#是呀我现在越来越懒了尤其是在在家里什么都不想干怎么办呢,[],7542760375,Lki6Yq8D6
03月17日17:02,,退役赖床选手,#每天啥都不想干怎么办#,[],5977668816,Lka6geet9
03月17日11:58,来自RedmiK20Pro尊享版,葱油饼不带葱,【西葫芦酿肉】材料：西葫芦1根、猪肉200克、鸡蛋2个、盐适量、胡萝卜1段、葱1段、姜1片、料酒1/2汤匙、生抽1汤匙、胡椒粉1茶匙、做法：1.准备好所需材料，西葫芦洗净，胡萝卜去皮洗净。2.将猪肉剁成肉泥。3.将猪肉泥放在大碗中，加入葱末，姜末，胡椒粉，料酒，盐搅拌均匀待用。4.将西葫芦切展开c,[],1747583281,Lk86Wq2Sb
03月17日04:14,来自点评,我真的没想好_,#每天啥都不想干怎么办#比如我现在就不想睡觉,[],7455872298,Lk54Fj128
03月16日23:23,来自HUAWEIMate40,木你嘿,#每天啥都不想干怎么办#《当耙耙柑遇见耙耙柑》,[],6343189641,Lk3azyAcZ
03月16日11:43,,沐森君,#每天啥都不想干怎么办#印太多的人容易有拖延症，想的太多，干的太少，无限焦虑内耗，还有的就是要做的事情太多，需要别人配合，又没有太明确的进度规划，索性就拖着了，反正一个人干不完。身体精力跟不上，头脑飞快奔跑，印多缺乏财官的人行动力差。身体容易累，只能干轻活，但查不出来具体病，就展开c,[],6758365451,LjYAs9byo
03月16日07:59,来自RedmiK20Pro尊享版,葱油饼不带葱,荞面蒸卷把和好的荞面擀成小长条状，放入油、葱沫、盐、花椒沫、层层叠起，再擀成薄厚均匀的长条状，放入锅内用文火烙成两面金黄色，鼓起即熟，入口酥脆，五香味全。#每天啥都不想干怎么办##厨艺教程##创意美食#,[],1747583281,LjX7t9gBs
03月16日07:59,来自RedmiK20Pro尊享版,葱油饼不带葱,拨面虽与面条大体相同，但做法不同。面条是和面擀薄用刀切，而拨面时用的刀是两端各有一柄，面板一尺多宽、二尺多长。切面时用腹部将面板顺着挤在锅沿处，把面剂子擀薄后，两手握两端刀饼快速挤切，边切边拨入锅内煮熟，由于作法特殊，因此，制作出的食品另有一种风味。#每天啥都不想干怎么办#展开c,[],1747583281,LjX7mqTLv
03月16日07:54,,有梦不觉累阿,#每天啥都不想干怎么办#3月16日多云18～27℃早上好，摸鱼人！【昨日总结】早上起来收拾完就去面试了，然而走错了地方，人家在一区我走到了三区招聘上写的5-8k人家最多给5k，就他妈离谱！起床今天有两个面试，收拾收拾出发距离本周周末还有3天距离清明节假期还有18天距离劳展开c,"['[笑而不语]', '[酷]']",5363726292,LjX5BoIKC
03月16日00:04,来自RedmiK20Pro尊享版,葱油饼不带葱,简单凉粉　　食材：50g玉米淀粉、适量油、适量盐、适量芝麻油、适量蒜、1个红辣椒、适量香菜、适量醋、适量生抽、适量凉开水。　　做法：　　1、玉米淀粉放碗里；　　2、加适量水，搅拌成淀粉糊糊；　　3、锅内放200毫升水，烧开，下淀粉糊糊下去搅拌；　　4、搅拌好的凉粉放碗里用勺子压展开c,[],1747583281,LjU0CmR24
03月15日22:47,来自iPhone客户端,R余温O,日落#每天啥都不想干怎么办#,[],6972467183,LjTvBi3LO
03月15日16:29,转赞人数超过100来自iPhoneXSMax,二宫占星,女人财富最大的阻碍是恐惧和焦虑，把事情都聚集在自己身上，让浑身都紧绷劳累。女人的财富是吸引来的，抓住重点，其余的都分出去。抓得越紧，财富越少。#每天啥都不想干怎么办#,[],7411346650,LjQ1CyFLP
03月15日15:04,来自HUAWEIP20,羊咩咩本尊大侠,#每天啥都不想干怎么办#不知道干什么，想躺平2福州·旗山高校教师公寓,[],2843039535,LjQtFc1HE
03月15日14:08,来自新版微博weibo.com,妧妧525,#每天啥都不想干怎么办##潭州教育#的老师讲的内容非常实用，要想获得长远发展，一定要不停的扩充自己的知识面。,[],1805450593,LjQ6SbEN6
03月15日13:16,来自新版微博weibo.com,修正生活,#每天啥都不想干怎么办#在#潭州教育#，不忘热爱配音的初心。无论在哪个年龄，都要勇敢追逐梦想。在追求艺术的路上，永远都没有借口，热爱才是每个人最好的讲师。,[],6189342999,LjPLxuQGT
03月15日10:48,来自情感超话,打开眼界,#像极了我作为普通人的日常#上了大学下次一定#每天啥都不想干怎么办#L打开眼界的微博视频,['[跪了]'],2474841654,LjONIeuDF
03月14日23:47,来自iPhone客户端,璐子好孩子,#每天啥都不想干怎么办#开始摆烂不想学习描红好好玩,"['[伤心]', '[思考]']",6371920694,LjKtt61F7
03月14日23:04,来自iPhone客户端,娟shmily欧耶,#每天啥都不想干怎么办#现在是什么也干不了,"['[苦涩]', '[苦涩]']",3908117599,LjKc4dgn8
03月14日21:23,来自iPhone客户端,都别闲着给我努力_,#每天啥都不想干怎么办#我…,[],7514931541,LjJwHDDQ7
03月14日19:43,,cc是不倒翁,#每天啥都不想干怎么办#正好最近也经历了一小段时间的颓丧，所以看到这个话题时，一下子就想起了之前那些小挣扎的时刻。相信每个人都有过状态不佳的时候，比如明明有好多事想去做，但却一直拖着。所以我们不妨把这个话题换成：当你状态不好的时候，该怎么调整？在这里也分享几个tips：①做一展开c,[],5594226214,LjISt2R5e
03月14日18:39,来自iPhone客户端,杨九妞儿_127,#每天啥都不想干怎么办#那就去闻一闻花香，看一看春天,['[心]'],5288279368,LjIsgrY0z
03月14日17:13,来自扑腾的咸鱼iPhoneX,HAE帽帽,#每天啥都不想干怎么办#摆烂摆烂摆烂,[],1768266924,LjHTnv9VL
03月14日15:16,转赞人数超过40来自微博国际版,一凡爱的艺术,#每天啥都不想干怎么办#承认接受这就是自己的人生。,[],1892013711,LjEcKaDpX
03月14日15:00,来自微博weibo.com,星辉玩具,#星辉嘻游记#来一辆“懒人专用车”——MINI三合一折叠三轮车一键折叠，宝妈一手搞定小小踏板，宝宝轻松踩踏#每天啥都不想干怎么办#替宝妈们省心省力~,"['[星星]', '[星星]']",2067005103,LjH1f1Jib
03月14日12:42,来自日常超话,-我就跟你抢辣条,拍摄花絮每日一问:有没有宝子想来菊厂做实习生呀！！来了姐姐带你们玩！#每天啥都不想干怎么办##写真##打工人#日常2北京,[],6058125557,LjG7fd2PW
03月14日12:13,转赞人数超过20来自微博weibo.com,三铜钱,八字偏弱的人胆儿怕事，唯唯诺诺，患得患失，许多人问我，那弱的人能不能变强，很抱歉，不可能。这些骨子里的东西不会因为大运改变而改变，只能说你换了一个补强的大运，你这些缺点会稍微收敛一点，人变得稍微积极一点，有可能屌丝逆袭。弱的人就是要比强的人付出更多才能成功。为什么，你会觉得周围小展开c,[],2559751122,LjEU82xcZ
03月14日10:49,来自荣耀X105G,花花挣钱钱,#每天啥都不想干怎么办#就想当个尸体每天都想躺着可以吗,['[doge]'],5676807736,LjFnHvO4z
03月14日08:00,来自OPPOReno65G,连一句敷衍也不给我么,#每天啥都不想干怎么办#现在发现自己越来越懒了妈妈我赶紧让我出去不想让我在家待,[],7542760375,LjEh2FjpS
03月14日07:25,来自微博搜索,张宏涛心理,#每天啥都不想干怎么办##自传写作班#那就回顾自己的过往人生，假定有一个摄像头，把你从出生到现在的所有经历都记录了下来，然后快进播放。这就是你的人生电影。你来看看这个电影叫什么名字合适？这个电影是喜剧，是悲剧，还是正剧，又或者是无聊剧？你就是电影里的绝对主角，和一号导演。电展开c,[],1237561161,LjE2Hds5t
03月13日23:23,来自OPPOReno45G,小小了右,#每天啥都不想干怎么办#焦虑了眼高手低又停课了我要立flag明天开始认真学习好好减肥加油,"['[泪]', '[泪]', '[加油]']",6465500546,LjATbiw8U
03月13日18:13,来自nova7Pro你在焦点在,清爽沁柠,宅家日常#每天啥都不想干怎么办#,[],2264880562,LjyR5rkXB
03月13日18:11,来自华为Mate40保时捷设计,陈宝Nevin-,#每天啥都不想干怎么办#乡下挑大粪的，不比这个强？一边在晃悠，还要担心大粪洒出来，神经系统一直在控制！啥玩意，还来自于意大利的专项发明，国人就这么容易被忽悠？#T.F整体疗法分享#,"['[允悲]', '[允悲]', '[允悲]', '[嘻嘻]', '[嘻嘻]', '[嘻嘻]']",1837428045,LjyQgAGIW
03月13日18:08,,庄小贪,sweatdreams#每天啥都不想干怎么办#,[],1492699664,LjyPjsDhq
03月13日18:08,,糯米欧尼Ya,天气好就适合出去走走今日穿搭我i了#每天啥都不想干怎么办##ootd##今日穿搭#,['[爱你]'],2617005563,LjyP3cvOo
03月13日18:07,来自iPhone客户端,一自夕和猫,#每天啥都不想干怎么办#又是想退休的一天2重庆·重庆江北国际机场T2航站楼A区L一自夕和猫的微博视频,['[馋嘴]'],1757483943,LjyONyU6I
03月13日18:05,来自iPhone客户端,可爱的鬼故事-,休息的日子好像开了两倍速#每天啥都不想干怎么办#2重庆,[],6029901557,LjyO9oRZF
03月13日18:05,来自iPhone客户端,没钱充共享单车的318骑手,#每天啥都不想干怎么办#天天看日落不想上班2惠州·张新村,['[打脸]'],3518484432,LjyO39kQJ
03月13日18:02,来自iPhone13Pro,Ko0ky,“什么样的年龄，就过好什么样的生活，时候到了，该你懂得事一件也不会少。”#每天啥都不想干怎么办#,[],1762075894,LjyMCienc
03月13日18:00,来自iPhone客户端,不丢的佛系主子,#每天啥都不想干怎么办#等小高下班中（手脚冰凉瑟瑟发抖……）2石家庄·正定古城,['[挖鼻]'],3978721984,LjyLOhwwH
03月13日17:57,,萧全,#每天啥都不想干怎么办#虽然来自嗦粉大省广西，但我觉得除了桂林米粉和螺蛳粉这两支独秀，广西的米粉文化还有待挖掘和出圈。可以借鉴一下隔壁湖南，用国潮的方式来做米粉文化，在长沙，甚至有一条湖南米粉街。长沙麻辣牛肉粉、永州卤粉、邵阳牛肉粉、衡阳鱼粉、津市牛肉粉、郴州杀猪粉，还有各种各样展开c,[],1746459202,LjyKCnYq3
03月13日17:55,,金水木命理,克隆人参与因果吗？说说你们第一眼是怎么断句的！？？！不许撒谎！#每天啥都不想干怎么办#2深圳,"['[doge]', '[doge]', '[doge]', '[doge]', '[doge]']",5733607060,LjyJR7mVr
03月13日17:54,来自nova5Pro人像超级夜景,里央-,遇见山茶花。#踏青##每天啥都不想干怎么办#2赣州,[],6088356142,LjyJtsRk0
03月13日17:52,来自iPhone客户端,唐糖小妹崽,发芽的小心情#每天啥都不想干怎么办#,[],6360830928,LjyIItQTE
03月13日17:51,来自iQOONeo5生而为赢,坠落月球_小怪兽,#每天啥都不想干怎么办#不想上班还想有钱,['[熊猫]'],6130002268,LjyIsePFb
03月13日17:50,来自iPhone客户端,景泰-海月,明天就要开学了，这个寒假有些长#上海下一站下一站上海##天气即天意##每天啥都不想干怎么办#2苏州·滨河公园,['[嘻嘻]'],5478073942,LjyI5d3x7
03月13日17:50,来自iPhone7,·碎碎想念·,#每天啥都不想干怎么办#接着摆烂啊,[],7562529692,LjyHYsuba
03月13日17:49,来自HUAWEIMatePadPro,喵星君大大,给人起名这个事，是最难的。明明是我精挑细选的字，却总是因为不被人喜欢，而又要被人围绕这个含义修改一下。但其实字字皆有用意。名字重要吗？以前听郭德纲的时候，讲过这么一个事。古代的皇帝的名字要有“讳”，也就是说写皇帝的名字要少一笔。咸丰皇帝奕詝，少一笔就是宁字底下少一勾，这叫“展开c,[],1457750002,LjyHFyQOR
03月13日17:49,来自iPhone客户端,i林杨-,小众优质宝藏绝绝子手绘#情侣头像#｜一些朋友圈短句文案日出于东而落于西有人在爱你有人在远离做一阵风吧有温柔也有英勇四季周而复始的更替来年还是春风绕枝头我以为要不了多久就会见面所以分开的那天没有好好拥抱告别这是我最大的遗憾.你总不能像个落难者，展开c,[],7155772031,LjyHFtlOz
03月13日17:49,来自微博视频号,晚安阿姝,今天发烧38.7度#每天啥都不想干怎么办#L晚安阿姝的微博视频,['[泪]'],6973689188,LjyHxiy0g
03月13日17:48,来自微博视频号,惜惜梓,#广州超话#叫你女朋友给你拍#同城种草##每天啥都不想干怎么办#2广州·珠江新城L惜惜梓的微博视频,[],2461342750,LjyGVnB17
03月13日17:46,来自挖金矿のiPhone12ProMax(金色),涛财神,当完队长…坐等潮汕大乱炖…#每天啥都不想干怎么办#2深圳,"['[吃瓜]', '[吃瓜]', '[吃瓜]']",1741882667,LjyGgjduj
03月13日17:45,来自iQOO35G性能旗舰,碧海晴晴空,#每天啥都不想干怎么办##今日贴纸打卡#还有7天稳住，坚决服从组织安排,"['[doge]', '[加油]']",3204553085,LjyG5ENDK
03月13日17:41,来自vivo手机,单纯---Girl,#吉林加油##每天啥都不想干怎么办#你记得花花就不会枯萎你记得我我就在(˙˙)2长春,[],7682069022,LjyEdiQL0
03月13日17:41,来自iPhone客户端,UNSUPERJIN,#每天啥都不想干怎么办#唉我都快烦死了，也很焦虑，昨晚又没睡好！我觉得我大概率不考研了！考研国家线出来了……就我们这种物流专硕涨了15分！190了，那不得考到210才能进复试啊了！冷门都成热门了！以后都没有冷门专业了！这两天一直在摆烂！！！！周五回家没有学习！看到国家线以后展开c,[],5883602830,LjyEc6UZx
03月13日17:41,来自谢胜子超话,一只银大赤,直播越听越有力量不管活在哪个阶段，千万别给人生只留一个支点。.得保持经济的独立，能手心朝下挣钱的时候，千万别手心朝上依赖他人。.得保持独立的人格，有兴趣爱好，有三五好友，能独立思考，不要在日常琐碎中弄丢了自己。.这样，才能不依赖于任何一段关系/平台…随时都有走展开c,['[春游家族]'],7020013521,LjyE9aHAO
03月13日17:40,来自vivoAI智慧拍照X21,婵宝宝723,#生活碎片##随手拍#第一次看见开出小白花的勿忘我某天下班回家时刻波光粼粼的云朵也不知道蒜一样的郁金香能不能开一个礼拜奶茶偶尔尝试一下芋圆#每天啥都不想干怎么办#就想吃吃喝喝~玩玩乐乐~吃饭和旅游一样，环境超级重要,[],5027627305,LjyE0hFgc
03月13日17:40,来自iPhone13Pro,神首集团公主家大咖Athena,等疫情结束期待和大家相聚#今天穿什么##时尚穿搭#公主家#每天啥都不想干怎么办#,[],3550439193,LjyDSym5Q
03月13日17:40,来自iPhone客户端,c惠云,#每天啥都不想干怎么办#我才24就想进养老院。我太累了,['[苦涩]'],6441950315,LjyDN3fKD
03月13日17:39,来自iPhone客户端,祺姐丫,我爱过，伤过，痛过，恨过，就特么没瘦过！#抬头自拍大赛##减肥大作战##每天啥都不想干怎么办#2上海·金地广场,['[摊手]'],1771385244,LjyDjpI5d
03月13日17:36,来自iPhone客户端,叫我小盐吧,我好像抓住了春天#随手拍春天##每天啥都不想干怎么办#2晋江市,[],5951794752,LjyCr3Eaw
03月13日17:35,来自iPhone客户端,教授侃数码,没事刷了下视频，发现这部剧有个bug：苹果手机怎么可能允许在电梯里面打电话呢#每天啥都不想干怎么办#,['[doge]'],7319311183,LjyBU1hyZ
03月13日17:35,来自vivoY5s闪充强续航,旺仔牛奶贼好喝,#每天啥都不想干怎么办#我也想知道怎么办,[],7619930257,LjyBTDWj7
03月13日17:34,来自iPhone12,八级大大大大大大狂疯,每天光想干怎么办？#每天啥都不想干怎么办#,[],5213539532,LjyBhAaEP
03月13日17:29,来自iPhone客户端,王什么千,#每天啥都不想干怎么办#摆就完事了,[],6184999419,Ljyzfms85
03月13日17:27,来自OPPOReno65G,连一句敷衍也不给我么,#每天啥都不想干怎么办#真的是说到心里去了我也是每天啥都不想干,[],7542760375,LjyyunsLo
03月13日17:24,来自微博国际版,五五柒肆柒五五,停电#每天啥都不想干怎么办#,[],2959083620,LjyxdtCiT
03月13日17:21,来自微博视频号,女王控日志,小时候幸福是一件很简单的事，长大了简单是一件很幸福的事。#每天啥都不想干怎么办#L女王控日志的微博视频,[],2628551563,Ljyw66FPQ
03月13日17:21,来自安宥ayu超话,安宥Ayu,每天都有在好好工作！#春季出街look#最近的温度真是叫人难以琢磨，真是在短短的一周感受了四季#每天啥都不想干怎么办#哈哈哈哈哈这个热搜是谁每天都想躺尸并发出灵魂一问安宥ayu,[],5819081816,LjyvZApIU
03月13日17:20,来自微博weibo.com,不务正业的李雷,#每天啥都不想干怎么办#不是没有事情做，是真的不愿意动。典型的拖延症......我是重度拖延症患者（科研工作者一样会有拖延症），如果可以给拖延症分期的话，我大概就是那种晚期转移类型……曾经戏言deadline是第一生产力，每次都是卡着节点。为了对抗拖延症，我看了不少书，也做了不少笔记，然而展开c,[],5993423827,LjyvJ2GXD
03月13日17:18,来自大帅b的iPhone客户端,答案在这儿,#每天啥都不想干怎么办#在线求解答，关键我月底考试,['[微笑]'],7483818785,Ljyv1jI4e
03月13日17:16,来自iPhone客户端,是珊珊呀_,#每天啥都不想干怎么办#周末可以无限循环么,[],3674668941,Ljyud4HhL
03月13日17:16,来自iPhone客户端,仙人掌城堡,#天气即天意##每天啥都不想干怎么办#春天在地里、我还穿着羽绒服、心冷！一上午都在折腾卖车、然后中午一起吃饭、全程无话、没有沟通这可怎么办呢？下午我自己睡到四点被喊起来回去！这算约会？算什么？真的太难受了！心情低落！不想说话了！,[],5381598759,Ljyu4ayEb
03月13日17:15,来自OPPOReno5Pro5G,樊樊樊樊可,#诗歌##情感语录##每天啥都不想干怎么办#《野风》你怎么舍得我难过北方的春苹果白开水小调黑色的袜子上粘上白色的线在春风里摇好多个春路过好多个颜色绽放过把曾经拥有变成曾经又过了几个春来来去去反反复复没有反转的剧情没有观众买单。,[],3857879041,LjytVEBIr
03月13日17:15,来自微博视频号,微博禁毒第一人马霄,【可耻！#男子偷闯女厕从缝隙抢手机被刑拘#】近日，云南曲靖。一男子偷入某电影院女卫生间，通过卫生间挡板缝隙将一女生手机抢走。该女生连忙追出，但不见男子踪影遂报警求助。经勘察，民警确认并抓获嫌疑人杨某。目前，杨某因涉嫌抢夺罪，被依法给予刑事拘留。#男子闯女厕从门缝抢走女生手机#展开c,[],1270750184,LjytNDH0F
03月13日17:14,来自微博weibo.com,阳光49393,不要轻易放弃一个每天都会想念的人。这样的人，一辈子也不会遇到几个。即便在一起要吃很多苦头，咬咬牙也就过去了。生活的苦，会随光阴淡去。但失去挚爱的疼痛，时间也无法洗涤。多年后仍能让你心痛的，是当年轻易放弃的真爱。——网易云音乐热评墙《天真有邪》#这届考研生究竟有多难#展开c,[],7614386756,LjytocVU2
03月13日17:11,,拖地的小僧,#每天啥都不想干怎么办#好多人有这种想法吧，尤其是长期不工作之后，这种状态特别明显。如果自己财务自由了，啥都不想干就躺着，躺着，还是躺着，每天让人伺候自己。如果没有财务自由，啥都不想干，那不得饿死，所以不用去想该怎么办，那是想多了。,[],6728318859,LjyrZoOf8
03月13日17:10,来自iPhone客户端,zozo圣地,皇后杀了皇后#每天啥都不想干怎么办#2大连Lzozo圣地的微博视频,[],6601621406,LjyrOsN54
03月13日17:08,来自iPhone客户端,小潘不吃肉y,微博上真的什么都有#每天啥都不想干怎么办#,[],7512892104,LjyqKffwn
03月13日17:07,来自吉安超话,吉安-李不理,记得要把简单的生活过的有趣些工作时自律身体休息时治愈灵魂吉安2吉安·吉安海洋世界#潮流生活##每天啥都不想干怎么办##吉安生活#2吉安,[],5876462911,LjyqAbmkI
